director_name,actor_name,genres,movie_title
David Dobkin,Janeane Garofalo,Comedy Crime,clay pigeons
Anna Boden,Zoë Kravitz,Comedy Drama Romance,it's kind of a funny story
Nigel Cole,Bob Hoskins,Biography Comedy Drama History,made in dagenham
Anand Tucker,Colin Firth,Biography Drama,when did you last see your father?
Steve James,Kurtwood Smith,Biography Drama Romance Sport,prefontaine
Michael Winner,Faye Dunaway,Adventure Drama,the wicked lady
Tomm Moore,Sean Lennon,Adventure Animation Family Fantasy,the secret of kells
John Carney,James Corden,Drama Music,begin again
David Jacobson,Hunter Parrish,Drama Romance Thriller,down in the valley
Michael Corrente,Jerry Ferrara,Crime Drama,brooklyn rules
Edward Hall,Rufus Sewell,Drama Romance,restless
Keith Gordon,Robert Downey Jr.,Comedy Crime Musical Mystery,the singing detective
David Leland,Anna Friel,Drama Romance War,the land girls
Andrew Currie,Alexia Fast,Comedy Drama Horror Sci-Fi,fido
Andrew Wilson,Will Ferrell,Comedy Drama Romance,the wendell baker story
Jonathan Lynn,Rupert Grint,Action Comedy Crime,wild target
Marc Schölermann,John de Lancie,Crime Horror Thriller,pathology
unknown,Tom Hardy,Drama Romance,wuthering heights            
Robert Moresco,Brian Dennehy,Crime Drama Thriller,10th & wolf
Thomas Vinterberg,Michael Angarano,Comedy Crime Drama Romance,dear wendy
Claudia Llosa,Ian Tracey,Drama,aloft
Katsuhiro Ôtomo,Mitsuo Iwata,Action Animation Sci-Fi,akira
John Herzfeld,Paul Walker,Action Crime Thriller,the death and life of bobby z
Charles Binamé,Stephen McHattie,Biography Drama Sport,the rocket: the legend of rocket richard
Keith Parmer,Rachel Ann Mullins,Action Crime Drama Thriller,swelter
Dennie Gordon,Leehom Wang,Action Adventure Comedy Romance,my lucky star
Ol Parker,Celia Imrie,Comedy Drama Romance,imagine me & you
Bruce Beresford,Mckenna Grace,Drama,mr. church
François Ozon,Charlotte Rampling,Crime Drama Mystery Thriller,swimming pool
James Nunn,Spencer Wilding,Action Drama,green street 3: never back down
David Webb Peoples,Delroy Lindo,Action Sci-Fi Sport,the blood of heroes
Michael Winnick,Scott Takeda,Action,code of honor
Bruce Beresford,Morgan Freeman,Comedy Drama Family,driving miss daisy
George Tillman Jr.,Vanessa Williams,Comedy Drama,soul food
Stanley Tong,Françoise Yip,Action Comedy,rumble in the bronx
David Oelhoffen,Viggo Mortensen,Drama War Western,far from men
Jason Reitman,J.K. Simmons,Comedy Drama,thank you for smoking
Eli Roth,Jay Hernandez,Horror,hostel: part ii
Lone Scherfig,Dominic Cooper,Drama,an education
Anand Tucker,Frances Conroy,Drama Romance,shopgirl
Tony Richardson,Joely Richardson,Comedy Drama Romance,the hotel new hampshire
Joe Carnahan,Jason Patric,Crime Drama Mystery Thriller,narc
Paul Gross,Molly Parker,Comedy Drama Romance Sport,men with brooms
Charles Robert Carner,Ivana Milicevic,Comedy Crime,witless protection
Russell Holt,Eric Johnson,Drama Romance,the work and the glory
Mike Judge,J.K. Simmons,Comedy Crime Romance,extract
Larry Charles,Jeff Bridges,Comedy Drama Music,masked and anonymous
Claude Miller,Sandrine Kiberlain,Comedy Crime Drama Romance Thriller,alias betty
Michael Winterbottom,Samantha Morton,Drama Romance Sci-Fi Thriller,code 46
Sacha Bennett,Bob Hoskins,Comedy,outside bet
Paul Haggis,Don Cheadle,Crime Drama Thriller,crash
Rodrigo García,Mia Wasikowska,Drama,albert nobbs
Jeta Amata,Akon,Action Crime Drama Thriller,black november
Siddharth Anand,Saif Ali Khan,Comedy Family Romance,ta ra rum pum
Vincent Paronnaud,Catherine Deneuve,Animation Biography Drama War,persepolis
Joe Dante,Bruce Dern,Adventure Fantasy Thriller,the hole
Dennis Gansel,Max Riemelt,Drama Thriller,the wave
Nicolas Winding Refn,Keanu Reeves,Horror Thriller,the neon demon
Daniel Barber,Joseph Gilgun,Action Crime Drama Thriller,harry brown
Sam Raimi,J.K. Simmons,Action Adventure Romance,spider-man 3
Robert Marcarelli,George Coe,Action Adventure Fantasy Sci-Fi Thriller,the omega code
Ernie Barbarash,Darren Shahlavi,Action Thriller,pound of flesh
Guy Hamilton,Desmond Llewelyn,Action Adventure Thriller,diamonds are forever
Francis Ford Coppola,Al Pacino,Crime Drama,the godfather
Adrian Lyne,Michael Nouri,Drama Music Romance,flashdance
Marc Webb,Joseph Gordon-Levitt,Comedy Drama Romance,500 days of summer
Jane Campion,Holly Hunter,Drama Music Romance,the piano
Steven Soderbergh,Channing Tatum,Comedy Drama,magic mike
Jonathan Liebesman,Sullivan Stapleton,Horror Mystery Thriller,darkness falls
Guy Hamilton,Yaphet Kotto,Action Adventure Thriller,live and let die
Jay Russell,Clint Howard,Drama Family Sport,my dog skip
Adam Brooks,Ryan Reynolds,Comedy Drama Romance,"definitely, maybe"
Salim Akil,Gary Dourdan,Comedy Drama,jumping the broom
Baz Luhrmann,Leonardo DiCaprio,Drama Romance,the great gatsby
George Clooney,Robert Downey Jr.,Biography Drama History,"good night, and good luck."
Bennett Miller,Philip Seymour Hoffman,Biography Crime Drama,capote
Robert Rodriguez,Quentin Tarantino,Action Crime Thriller,desperado
Michael Winterbottom,Milla Jovovich,Drama Romance Western,the claim
unknown,Kirsten Dunst,Crime Drama Thriller,fargo            
Michael Anderson,Farrah Fawcett,Action Adventure Sci-Fi,logan's run
Guy Hamilton,Christopher Lee,Action Adventure Thriller,the man with the golden gun
Craig R. Baxley,Bill Duke,Action Comedy Crime Thriller,action jackson
Neil Marshall,MyAnna Buring,Adventure Horror Thriller,the descent
Don Kempf,Bill Murray,Documentary Sport,michael jordan to the max
Matt Bettinelli-Olpin,Zach Gilford,Horror Mystery,devil's due
David O. Russell,Lily Tomlin,Comedy,flirting with disaster
Rob Zombie,Sid Haig,Crime Horror,the devil's rejects
unknown,Sarah Michelle Gellar,Action Drama Fantasy Romance,buffy the vampire slayer            
Rick Famuyiwa,Kimberly Elise,Comedy Crime Drama,dope
Michael Rymer,LL Cool J,Crime Drama Thriller,in too deep
Sam Mendes,Albert Finney,Action Adventure Thriller,skyfall
Rob Zombie,Sid Haig,Horror,house of 1000 corpses
Sharron Miller,Bernard Fox,Horror,alien zone
Ethan Coen,Michael Stuhlbarg,Comedy Drama,a serious man
Aaron Schneider,Bill Murray,Drama Mystery,get low
Steve Miner,Julian Sands,Action Fantasy Horror Thriller,warlock
Gina Prince-Bythewood,Minnie Driver,Drama Music,beyond the lights
Tom Ford,Colin Firth,Drama Romance,a single man
Martin Scorsese,Irvin Kershner,Drama,the last temptation of christ
Michael Corrente,Jonathan Brandis,Comedy Drama Romance,outside providence
Gurinder Chadha,Indira Varma,Comedy Drama Musical Romance,bride & prejudice
Phillip Noyce,Roy Billing,Adventure Biography Drama History,rabbit-proof fence
Don Michael Paul,Jeffrey Jones,Comedy Sport,who's your caddy?
Tony Maylam,Michael J. Pollard,Action Crime Horror Sci-Fi Thriller,split second
unknown,Melinda Clarke,Action Crime Drama Thriller,nikita            
Mitch Davis,Anne Hathaway,Adventure Biography Drama,the other side of heaven
unknown,Jensen Ackles,Action Drama Mystery Sci-Fi,dark angel            
Yash Chopra,Shah Rukh Khan,Drama Musical Romance,veer-zaara
David Mamet,Alice Braga,Drama Sport,redbelt
Jay Duplass,Matt Walsh,Comedy Drama Romance,cyrus
Kevin Brodie,Bruce McGill,Drama Family,a dog of flanders
Paul Schrader,Ed Begley Jr.,Biography Crime Drama,auto focus
George Hickenlooper,Hayden Christensen,Biography Drama,factory girl
Lynne Ramsay,Ezra Miller,Drama Thriller,we need to talk about kevin
John Stephenson,Samantha Barks,Drama Family,the christmas candle
Tim Chambers,Ellen Burstyn,Drama Sport,the mighty macs
Curtis Hanson,Tom Cruise,Comedy Drama Family,losin' it
Rodrigo García,Naomi Watts,Drama Romance,mother and child
Dick Richards,Catherine Deneuve,Adventure Drama Romance War,march or die
Jean-Marie Poiré,Christian Clavier,Comedy Fantasy Sci-Fi,les visiteurs
Sofia Coppola,Nathalie Fay,Comedy Drama,somewhere
Bob Gosse,Geoff Stults,Comedy,i hope they serve beer in hell
Alex Zamm,Taylor Negron,Comedy,chairman of the board
Spencer Susser,Joseph Gordon-Levitt,Drama,hesher
Richard Shepard,Richard E. Grant,Comedy Crime Drama,dom hemingway
Gus Van Sant,Matt Damon,Adventure Drama Mystery,gerry
Thaddeus O'Sullivan,Olivia Williams,Drama Romance,the heart of me
Peter Sollett,Steve Carell,Biography Drama Romance,freeheld
Shari Springer Berman,Lynn Cohen,Comedy,the extra man
Aleksey German,Leonid Yarmolnik,Drama Sci-Fi,hard to be a god
Stephen Milburn Anderson,Chris Hemsworth,Comedy Crime Thriller,ca$h
Richard E. Grant,Emily Watson,Drama,wah-wah
Troy Duffy,Norman Reedus,Action Crime Thriller,the boondock saints
David Lam,Michael Wong,Action Crime,z storm
Francis Ford Coppola,Alden Ehrenreich,Comedy Fantasy Horror Mystery,twixt
Vladlen Barbe,Erin Fitzgerald,Adventure Animation Family,snow queen
Richard Rich,Debi Derryberry,Action Adventure Animation Comedy Drama Family Fantasy Thriller,alpha and omega 4: the legend of the saw toothed cave
Clint Eastwood,Clint Eastwood,Western,pale rider
Robert C. Cooper,Ben Browder,Action Adventure Drama Fantasy Sci-Fi,stargate: the ark of truth
Richard Linklater,Milla Jovovich,Comedy,dazed and confused
Kenny Ortega,Lucas Grabeel,Comedy Drama Family Music Musical Romance,high school musical 2
Kim Nguyen,Gordon Pinsent,Drama Romance,two lovers and a bear
Jackie Earle Haley,Rex Baker,Crime Drama Thriller,criminal activities
Max Färberböck,Heike Makatsch,Biography Drama Romance War,aimee & jaguar
Arie Posin,Rory Culkin,Comedy Drama,the chumscrubber
Damian Nieman,Glenn Plummer,Crime Thriller,shade
Mark Tonderai,Jennifer Lawrence,Drama Horror Thriller,house at the end of the street
Denis Villeneuve,Lubna Azabal,Drama Mystery War,incendies
Gabriele Muccino,Laura Morante,Comedy Drama Romance,"remember me, my love"
Ian Fitzgibbon,Jim Broadbent,Action Comedy Crime Drama Romance Thriller,perrier's bounty
José Padilha,Wagner Moura,Action Crime Drama Thriller,elite squad
John R. Leonetti,Alfre Woodard,Horror Mystery,annabelle
Rachel Perkins,Deborah Mailman,Comedy Drama Musical,bran nue dae
John Singleton,John Cothran,Crime Drama,boyz n the hood
Luis Valdez,Esai Morales,Biography Drama Music,la bamba
Alan Alda,Rita Moreno,Comedy Drama,the four seasons
Brian De Palma,Angie Dickinson,Mystery Romance Thriller,dressed to kill
Stephen Sommers,Curtis Armstrong,Adventure Comedy Drama Family,the adventures of huck finn
Doug Liman,Sarah Polley,Comedy Crime,go
Nicole Holofcener,Greg Germann,Comedy Drama Romance,friends with money
Robert Wise,David Wayne,Sci-Fi Thriller,the andromeda strain
Louis Morneau,Leon,Horror Sci-Fi Thriller,bats
Caroline Link,Merab Ninidze,Biography Drama,nowhere in africa
Steve McQueen,Michael Fassbender,Drama,shame
Matthew Vaughn,Tom Hardy,Crime Drama Thriller,layer cake
Sterling Van Wagenen,Emily Podleski,Drama Western,the work and the glory ii: american zion
Zal Batmanglij,Alexander Skarsgård,Drama Thriller,the east
Michael Mayer,Robin Wright,Drama Romance,a home at the end of the world
Hans Petter Moland,Charlotte Rampling,Drama,aberdeen
Oren Moverman,Steve Buscemi,Drama Romance War,the messenger
Ian Sharp,Ray Winstone,Action Adventure Drama Western,tracker
Anton Corbijn,Sam Riley,Biography Drama Music,control
James Cameron,Michael Biehn,Action Sci-Fi,the terminator
Wolfgang Becker,Florian Lukas,Drama Romance,good bye lenin!
Tom Hooper,Stephen Graham,Biography Drama Sport,the damned united
unknown,Maria Pia Calzone,Crime Drama Thriller,gomorrah            
Kevin Smith,Ethan Suplee,Comedy Romance,mallrats
Randal Kleiser,Olivia Newton-John,Musical Romance,grease
Oliver Stone,Johnny Depp,Drama War,platoon
Michael Moore,Osama bin Laden,Documentary Drama War,fahrenheit 9/11
George Roy Hill,Katharine Ross,Biography Crime Drama Western,butch cassidy and the sundance kid
Robert Stevenson,Ed Wynn,Comedy Family Fantasy Musical,mary poppins
Robert Redford,Adam Baldwin,Drama,ordinary people
Frank Coraci,Jim Broadbent,Action Adventure Comedy,around the world in 80 days
Jerome Robbins,Rita Moreno,Crime Drama Musical Romance Thriller,west side story
Harold Ramis,Bill Murray,Comedy Sport,caddyshack
Gary Hardwick,Julie Benz,Comedy Drama,the brothers
Rick Famuyiwa,Omar Epps,Comedy Drama Romance,the wood
Bryan Singer,Kevin Spacey,Crime Drama Mystery Thriller,the usual suspects
Stephen Hopkins,Lisa Wilcox,Fantasy Horror Romance Thriller,a nightmare on elm street 5: the dream child
Walt Becker,Ryan Reynolds,Comedy Romance,van wilder: party liaison
Darren Aronofsky,Mark Margolis,Drama Sport,the wrestler
King Vidor,Joseph Cotten,Drama Romance Western,duel in the sun
Christopher Guest,John Michael Higgins,Comedy,best in show
John Carpenter,Donald Pleasence,Action Sci-Fi,escape from new york
Spike Lee,Tisha Campbell-Martin,Comedy Drama Musical,school daze
Fred Savage,Lochlyn Munro,Comedy Family,daddy day camp
Sammo Kam-Bo Hung,Sammo Kam-Bo Hung,Action Comedy Crime,mr. nice guy
Christopher Guest,Michael McKean,Comedy Music,a mighty wind
Donald Petrie,Julia Roberts,Comedy Drama Romance,mystic pizza
unknown,Jim Broadbent,Drama History Romance War,war & peace            
Peter Howitt,Jeanne Tripplehorn,Comedy Drama Fantasy Romance,sliding doors
Rusty Cundieff,Corbin Bernsen,Comedy Horror Thriller,tales from the hood
Kevin Macdonald,David Oyelowo,Biography Drama History Thriller,the last king of scotland
Dominique Othenin-Girard,Donald Pleasence,Horror Thriller,halloween 5
Richard Linklater,Matthew McConaughey,Comedy Crime Drama,bernie
Jean-Jacques Mantello,Charlotte Rampling,Adventure Documentary Short,dolphins and whales 3d: tribes of the ocean
Ed Harris,John Heard,Biography Drama,pollock
Risa Bramon Garcia,Janeane Garofalo,Comedy Drama Romance,200 cigarettes
Brian Klugman,J.K. Simmons,Drama Mystery Romance Thriller,the words
Matt Piedmont,Will Ferrell,Comedy Western,casa de mi padre
Raymond De Felitta,Ezra Miller,Comedy Drama,city island
John Michael McDonagh,Don Cheadle,Comedy Crime Thriller,the guard
Deb Hagan,Drake Bell,Comedy,college
Sofia Coppola,Kirsten Dunst,Drama Romance,the virgin suicides
Mark Herman,Jim Broadbent,Comedy Drama Music Romance,little voice
Zach Cregger,Hugh M. Hefner,Comedy Romance,miss march
Zach Braff,Jim Parsons,Comedy Drama,wish i was here
Mark Tarlov,Sarah Michelle Gellar,Comedy Drama Fantasy Romance,simply irresistible
unknown,Francis Capra,Crime Drama Mystery,veronica mars            
John Cameron Mitchell,John Cameron Mitchell,Comedy Drama Music Musical,hedwig and the angry inch
Sheldon Lettich,Antoni Corone,Action Drama,only the strong
Jon Knautz,Rachel Alig,Drama Horror Mystery Thriller,goddess of love
Billy Ray,Hayden Christensen,Drama History,shattered glass
David Atkins,Chelcie Ross,Comedy Crime Drama Thriller,novocaine
Patrick Stettner,Stockard Channing,Drama Thriller,the business of strangers
Sam Peckinpah,William Holden,Action Adventure Western,the wild bunch
Jonathan Levine,Mary-Kate Olsen,Comedy Drama Romance,the wackness
Michael Crichton,Lesley-Anne Down,Adventure Crime Drama Thriller,the great train robbery
Lynne Ramsay,Samantha Morton,Drama,morvern callar
Sylvio Tabet,Michael Berryman,Action Adventure Fantasy Sci-Fi,beastmaster 2: through the portal of time
Rick Bieber,Aidan Quinn,Biography Drama Sport,the 5th quarter
Claude Chabrol,Benoît Magimel,Drama,the flower of evil
Shana Feste,Jennifer Ehle,Drama Romance,the greatest
Wayne Wang,Bingbing Li,Drama History,snow flower and the secret fan
Joey Lauren Adams,Tim Blake Nelson,Drama Romance,come early morning
Peter Cattaneo,James Nesbitt,Comedy Crime Romance,lucky break
Fred Zinnemann,Meryl Streep,Drama,julia
S.R. Bindler,Matthew McConaughey,Comedy,"surfer, dude"
Tony Kaye,Noam Chomsky,Documentary,lake of fire
Greg Marcks,Henry Thomas,Comedy Crime Drama,11:14
Perry Lang,Catherine Bell,Action Drama Thriller,men of war
Jake Goldberger,Pruitt Taylor Vince,Drama Mystery Thriller,don mckay
Stefan Ruzowitzky,Charlie Hunnam,Crime Drama Thriller,deadfall
Vic Sarin,Connie Nielsen,Drama Family,a shine of rainbows
William Kaufman,Drew Waters,Action Thriller,the hit list
unknown,Romola Garai,Comedy Drama Romance,emma            
David Cronenberg,Debbie Harry,Horror Mystery Sci-Fi Thriller,videodrome
Cédric Klapisch,Romain Duris,Comedy Drama,l'auberge espagnole
Kate Barker-Froyland,Anne Hathaway,Drama Music,song one
Barbet Schroeder,Ryan Gosling,Crime Mystery Thriller,murder by numbers
Martin Koolhoven,Yorick van Wageningen,Drama History War,winter in wartime
Charles Matthau,Billy Burke,Comedy Crime Thriller,freaky deaky
John Frankenheimer,Jeanne Moreau,Thriller War,the train
Christopher M. Bessette,Mira Sorvino,Drama Thriller,trade of innocents
Prachya Pinkaew,Jon Foo,Action Crime Drama Thriller,the protector
Gary Sinyor,Sean Pertwee,Comedy,stiff upper lips
unknown,Simon Bird,Comedy Romance,the inbetweeners            
Gurinder Chadha,Archie Panjabi,Comedy Drama Romance Sport,bend it like beckham
John Sayles,Miguel Ferrer,Drama Romance,sunshine state
Preston A. Whitmore II,Wesley Jonathan,Action Sport,crossover
Ashish R. Mohan,Asin,Action Comedy,khiladi 786
Jaume Balagueró,Jonathan D. Mellor,Horror,[rec] 2
Stewart Raffill,Kayla Jackson,Musical,standing ovation
George Roy Hill,Eileen Brennan,Comedy Crime Drama,the sting
Hugh Hudson,Alice Krige,Biography Drama Sport,chariots of fire
Darren Grant,Cicely Tyson,Comedy Drama Romance,diary of a mad black woman
Scott Hicks,Noah Taylor,Biography Drama Music Romance,shine
Joseph Gordon-Levitt,Joseph Gordon-Levitt,Comedy Drama Romance,don jon
Clint Eastwood,Clint Eastwood,Mystery Western,high plains drifter
Terry Zwigoff,Scarlett Johansson,Comedy Drama,ghost world
Richard Eyre,Kate Winslet,Biography Drama Romance,iris
William Sachs,Stephen Macht,Comedy Sci-Fi,galaxina
Christophe Barratier,Jean-Baptiste Maunier,Drama Music,the chorus
Émile Gaudreault,Paul Sorvino,Comedy Drama,mambo italiano
James Cox,Alexis Dziena,Crime Drama Mystery Thriller,wonderland
Spike Lee,Ruby Dee,Drama,do the right thing
James Toback,Sarah Michelle Gellar,Comedy Crime Drama Romance Thriller,harvard man
Aki Kaurismäki,Jean-Pierre Léaud,Comedy Drama,le havre
Gaspar Noé,Philippe Nahon,Crime Drama Mystery Thriller,irreversible
Hitoshi Matsumoto,Lindsay Kay Hayward,Comedy Drama,r100
Rakeysh Omprakash Mehra,Anupam Kher,Comedy Drama History Romance,rang de basanti
Collin Schiffli,Kim Shaw,Drama,animals
George Ratliff,Jim Gaffigan,Action Comedy Drama Thriller,salvation boulevard
David Wain,Jon Hamm,Comedy Romance,the ten
Shane Meadows,Bob Hoskins,Comedy Drama,a room for romeo brass
Morten Tyldum,Aksel Hennie,Crime Drama Thriller,headhunters
Jon Wright,Russell Tovey,Comedy Horror Sci-Fi Thriller,grabbers
Michael McGowan,Campbell Scott,Comedy Drama Sport,saint ralph
Liv Ullmann,Samantha Morton,Drama Romance,miss julie
Jeannot Szwarc,Teresa Wright,Drama Fantasy Romance,somewhere in time
Rohan Sippy,Abhishek Bachchan,Action Crime Drama Thriller,dum maaro dum
James Wan,Lin Shaye,Fantasy Horror Thriller,insidious: chapter 2
Darren Lynn Bousman,Emmanuelle Vaugier,Horror Mystery,saw ii
Dan Trachtenberg,Bradley Cooper,Drama Horror Mystery Sci-Fi Thriller,10 cloverfield lane
Jeff Tremaine,Bam Margera,Comedy Documentary,jackass: the movie
David F. Sandberg,Billy Burke,Horror,lights out
Henry Joost,Johanna Braddy,Horror,paranormal activity 3
Stiles White,Lin Shaye,Fantasy Horror,ouija
Chuck Russell,John Saxon,Action Fantasy Horror Thriller,a nightmare on elm street 3: dream warriors
Joel Edgerton,Busy Philipps,Mystery Thriller,the gift
Eugenio Derbez,Eugenio Derbez,Comedy Drama,instructions not included
Henry Joost,Matt Shively,Horror,paranormal activity 4
Henry Koster,Richard Burton,Drama History,the robe
Blake Edwards,Burt Kwouk,Comedy Crime Mystery,the return of the pink panther
Rachel Talalay,Johnny Depp,Comedy Fantasy Horror Thriller,freddy's dead: the final nightmare
Patty Jenkins,Charlize Theron,Biography Crime Drama Thriller,monster
Christopher Landon,Richard Cabral,Fantasy Horror Thriller,paranormal activity: the marked ones
David Lynch,Anthony Hopkins,Biography Drama,the elephant man
Jean-Marc Vallée,Matthew McConaughey,Biography Drama,dallas buyers club
David Gelb,Olivia Wilde,Horror Sci-Fi Thriller,the lazarus effect
Christopher Nolan,Callum Rennie,Mystery Thriller,memento
Mike Flanagan,James Lafferty,Horror Mystery,oculus
Kevin Smith,Ethan Suplee,Comedy,clerks ii
Stephen Daldry,Julie Walters,Drama Music,billy elliot
Nat Faxon,Steve Carell,Comedy Drama,the way way back
George Jackson,William Schallert,Comedy Drama Music Romance,house party 2
George Miller,Tony Bonner,Adventure Drama Family Romance Western,the man from snowy river
Maurice Joyce,Frank Welker,Animation Comedy Family,doug's 1st movie
Robert Duvall,John Beasley,Drama,the apostle
Frank Perry,Faye Dunaway,Biography Drama,mommie dearest
Jesse Peretz,Zooey Deschanel,Comedy Drama,our idiot brother
Stephen Hopkins,William Hurt,Biography Drama Sport,race
Ice Cube,Bernie Mac,Comedy Drama,the players club
Tim Blake Nelson,Mekhi Phifer,Drama Romance Thriller,o
John Erick Dowdle,Ben Feldman,Horror Mystery Thriller,"as above, so below"
Bille Woodruff,Boris Kodjoe,Drama Thriller,addicted
Kasi Lemmons,Jurnee Smollett-Bell,Drama,eve's bayou
Richard Glatzer,Kristen Stewart,Drama,still alice
Michael Curtiz,Gene Tierney,Drama History,the egyptian
Bruce Malmuth,Sylvester Stallone,Action Crime Thriller,nighthawks
Rob Hedden,Kane Hodder,Adventure Horror,friday the 13th part viii: jason takes manhattan
Joel Zwick,Nia Vardalos,Comedy Family Romance,my big fat greek wedding
Harmony Korine,James Franco,Crime Drama,spring breakers
Joe Chappelle,Donald Pleasence,Horror Thriller,halloween: the curse of michael myers
Alfonso Cuarón,Maribel Verdú,Adventure Comedy Drama Romance,y tu mamá también
Edgar Wright,Peter Serafinowicz,Comedy Horror,shaun of the dead
Mickey Liddell,Jessica Lowndes,Drama Horror Thriller,the haunting of molly hartley
John Sayles,Matthew McConaughey,Drama Mystery,lone star
Dwight H. Little,Donald Pleasence,Horror Thriller,halloween 4: the return of michael myers
Fred Walton,Thomas F. Wilson,Horror Mystery,april fool's day
Barry Levinson,Steve Guttenberg,Comedy Drama,diner
Steve Carver,David Carradine,Action Crime Drama Thriller Western,lone wolf mcquade
Gonzalo López-Gallego,Warren Christie,Horror Mystery Sci-Fi Thriller,apollo 18
Christine Jeffs,Clifton Collins Jr.,Comedy Drama,sunshine cleaning
John Erick Dowdle,Sterling Jerins,Action Thriller,no escape
Don Coscarelli,Vanna Bonta,Action Adventure Fantasy,the beastmaster
King Vidor,Gina Lollobrigida,Drama History Romance War,solomon and sheba
Michael Tiddes,Fred Willard,Comedy,fifty shades of black
Bill Duke,Eddie Cibrian,Drama Romance,not easily broken
Frank Borzage,Gary Cooper,Drama Romance War,a farewell to arms
Bille Woodruff,Donald Faison,Comedy Romance,the perfect match
Mamoru Hosoda,Lara Jill Miller,Action Adventure Animation Family Sci-Fi,digimon: the movie
Brian Dannelly,Macaulay Culkin,Comedy Drama,saved!
Denys Arcand,Marie-Josée Croze,Comedy Crime Drama Mystery Romance,the barbarian invasions
Richard Lester,Robert Shaw,Adventure Drama Romance,robin and marian
J.S. Cardone,Brendan Fehr,Horror Thriller,the forsaken
Guy Hamilton,Harrison Ford,Action Drama War,force 10 from navarone
Jay Levey,Fran Drescher,Comedy Drama,uhf
Nicholaus Goossen,Linda Cardellini,Comedy,grandma's boy
Tamara Jenkins,Natasha Lyonne,Comedy Drama,slums of beverly hills
Sergio Leone,Claudia Cardinale,Western,once upon a time in the west
Jon Favreau,Jon Favreau,Comedy Crime Drama Thriller,made
Duncan Jones,Kevin Spacey,Drama Mystery Sci-Fi,moon
Scott Marshall,Miranda Cosgrove,Comedy,keeping up with the steins
Ronan Chapalain,Norbert Ferrer,Documentary,sea rex 3d: journey to a prehistoric world
Atom Egoyan,Bruce Greenwood,Drama,the sweet hereafter
Xavier Beauvois,Lambert Wilson,Drama,of gods and men
Randall Miller,Alan Rickman,Comedy Drama,bottle shock
Jerry Belson,Cassandra Peterson,Comedy Music Sci-Fi,jekyll and hyde... together again
Peter Jackson,Kate Winslet,Biography Crime Drama Romance Thriller,heavenly creatures
Michael Polish,Hayden Christensen,Drama,90 minutes in heaven
Dan Rush,Will Ferrell,Comedy Drama,everything must go
Jake Kasdan,Kim Dickens,Comedy Crime Drama Mystery Thriller,zero effect
Brad Anderson,Christian Bale,Drama Thriller,the machinist
Paul Schrader,Dana Delany,Crime Drama,light sleeper
Michael Cuesta,Jeremy Renner,Biography Crime Drama Mystery Thriller,kill the messenger
John Cameron Mitchell,Dianne Wiest,Drama,rabbit hole
Fenton Bailey,Macaulay Culkin,Biography Crime Drama Thriller,party monster
Jeremy Saulnier,Alia Shawkat,Crime Horror Music Thriller,green room
Billy Kent,Liza Minnelli,Comedy Drama Romance,the oh in ohio
James Manera,Joaquim de Almeida,Drama Mystery Sci-Fi,atlas shrugged: who is john galt?
Wes Anderson,Andrew Wilson,Comedy Crime Drama,bottle rocket
Kevin Spacey,Viggo Mortensen,Crime Drama Thriller,albino alligator
Feroz Abbas Khan,Akshaye Khanna,Biography Drama History,"gandhi, my father"
Errol Morris,Jeffrey Frost,Crime Documentary War,standard operating procedure
Eli Craig,Katrina Bowden,Comedy Horror,tucker and dale vs evil
Nicholas Fackler,Adam Scott,Drama Romance,"lovely, still"
Richard Wallace,Judith Anderson,Adventure Drama Romance,tycoon
Morgan J. Freeman,Ethan Suplee,Drama,desert blue
Matthew Hastings,Meghan Ory,Comedy Horror Sci-Fi,decoys
M. Night Shyamalan,Ocean James,Horror Thriller,the visit
Brian De Palma,Mike Figueroa,Crime Thriller War,redacted
Klaus Menzel,Adam Garcia,Mystery Romance Thriller,fascination
Oren Peli,Glenn Campbell,Horror Sci-Fi Thriller,area 51
Jaume Balagueró,Luis Tosar,Drama Horror Thriller,sleep tight
Paul Andrew Williams,Dave Legeno,Comedy Crime Horror Thriller,the cottage
Stephen Herek,Henry Ian Cusick,Comedy Drama Fantasy,dead like me: life after death
Bob Saget,Alyson Hannigan,Animation Comedy,farce of the penguins
Jim Amatulli,Heather Locklear,Drama Family Music,flying by
unknown,Corbin Bernsen,Comedy Crime Mystery,psych            
William H. Macy,Billy Crudup,Comedy Drama Music,rudderless
Barrett Esposito,Chazz Palminteri,Animation Family,henry & me
Mitch Davis,Gary Cole,Comedy,christmas eve
Eric Bross,Teri Polo,Crime Drama Thriller,we have your husband
Paul Schrader,Nicolas Cage,Drama Thriller,dying of the light
Vicky Jewson,James Frain,Action Drama Thriller War,born of war
Peter Hyams,David Huddleston,Action Sci-Fi Thriller,capricorn one
Marc Bennett,Michael Rapaport,Comedy Drama,should've been romeo
Mike Mayhall,David Raizor,Family,running forever
Kevin Smith,Johnny Depp,Comedy Fantasy Horror Thriller,yoga hosers
Stanton Barrett,Mikal Vega,Action Horror,navy seals vs. zombies
Jirí Menzel,Julia Jentsch,Comedy Drama Romance War,i served the king of england
Fatih Akin,Udo Kier,Comedy Drama,soul kitchen
Billy Bob Thornton,Robert Duvall,Drama,sling blade
Nick Murphy,Isaac Hempstead Wright,Horror Thriller,the awakening
Eli Roth,Jay Hernandez,Horror,hostel
